번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
6435,빵 또는 떡류,부드러운 모카번,70,266.36,36.19,5.03,11.06,11.31,170.87,35.18,5.03,0,2017
6436,빵 또는 떡류,부드러운 밀크식빵,70,157.23,30.15,4.31,2.69,5.38,290.77,0,1.29,0,2012
6437,빵 또는 떡류,부드러운 밀크식빵,70,189.76,36.39,5.2,3.25,3.77,350.93,0,1.56,0,2017
6438,빵 또는 떡류,부드러운 우리쌀 토스트,70,185.68,32.47,6.47,3.32,1.72,310.36,1.02,1.78,0.02,2013
6439,빵 또는 떡류,부드러운 우리쌀 토스트,70,129.97,22.73,4.53,2.32,0.29,217.25,0.71,1.25,0.01,2017
6440,빵 또는 떡류,부드러운 점보버터롤,70,255.23,47.38,5.38,5.06,12.92,333.85,5.38,2.48,0,2012
6441,빵 또는 떡류,부드러운 점보버터롤,70,226.15,41.99,4.77,4.48,9.05,295.81,4.77,2.19,0,2017
6442,빵 또는 떡류,부드러운 토스트식빵,70,161,30.1,4.9,2.45,2.8,231,0,1.05,0,2012
6443,빵 또는 떡류,부드러운 토스트식빵,70,112.7,21.07,3.43,1.72,1.96,161.7,0,0.74,0,2017
6444,빵 또는 떡류,부드러움에 빠진 클래식롤,70,207.94,32.94,4.12,7.21,20.59,113.24,56.62,2.99,0,2012
6445,빵 또는 떡류,부드러움에 빠진 클래식롤,70,214.06,33.91,4.24,7.42,14.41,116.57,58.28,3.07,0,2017
6446,빵 또는 떡류,부드럽게 먹는 밀크샌드,70,316.62,45.23,4.31,14,8.62,344.62,0,7.54,0,2012
6447,빵 또는 떡류,부드럽게 먹는 밀크샌드,70,246.26,35.18,3.35,10.89,6.03,268.03,0,5.86,0,2017
6448,빵 또는 떡류,부드럽게 먹는 블루베리크림샌드,70,318.77,44.15,4.31,14,7.54,344.62,0,7.54,0,2012
6449,빵 또는 떡류,부드럽게 먹는 블루베리크림샌드,70,247.93,34.34,3.35,10.89,5.28,268.03,0,5.86,0,2017
6450,빵 또는 떡류,불떡볶이,100,186.57,37.77,3.17,2.53,7.52,407.39,0,0.22,0,2013
6451,빵 또는 떡류,불떡볶이,100,186.57,37.77,3.17,2.53,7.52,407.39,0,0.22,0,2017
6452,빵 또는 떡류,브라운브레드,70,180.83,33.83,4.67,4.08,7,221.67,11.67,2.33,0,2012
6453,빵 또는 떡류,브라운브레드,70,210.97,39.47,5.44,4.76,4.9,258.61,13.61,2.72,0,2017
6454,빵 또는 떡류,블랙필드,70,227,31,4,11,22,210,0,7,0,2012
6455,빵 또는 떡류,블랙필드,70,227,31,4,11,15.4,210,0,7,0,2017
6456,빵 또는 떡류,블루베리맛베이글,70,206.82,31.82,6.36,6.36,5.09,190.91,19.09,3.82,0,2012
6457,빵 또는 떡류,블루베리맛베이글,70,131.61,20.25,4.05,4.05,3.56,121.49,12.15,2.43,0,2017
6458,빵 또는 떡류,블루베리머핀,70,205.8,22.54,2.94,11.76,12.74,112.7,58.8,5.88,0.29,2017
6459,빵 또는 떡류,블루베리치즈팡,70,274.62,39.85,4.31,11.85,16.15,226.15,16.15,4.74,0,2012
6460,빵 또는 떡류,블루베리치즈팡,70,256.31,37.19,4.02,11.06,11.31,211.08,15.08,4.42,0,2017
6461,빵 또는 떡류,비엔나케잌(롯데푸드),70,196,18.2,6.3,10.5,7.7,294,52.5,3.5,0,2015
6462,빵 또는 떡류,비엔나케잌(롯데푸드),70,137.2,12.74,4.41,7.35,4.45,205.8,36.75,2.45,0,2017
6463,빵 또는 떡류,빅꽈배기도너츠,70,328.46,47.38,6.46,12.92,33.38,387.69,5.38,5.38,0,2012
6464,빵 또는 떡류,빅꽈배기도너츠,70,255.47,36.85,5.03,10.05,23.37,301.54,4.19,4.19,0,2017
6465,빵 또는 떡류,빙빙슈크림,70,280,46.31,5.38,8.62,16.15,280,16.15,4.42,0,2012
6466,빵 또는 떡류,빙빙슈크림,70,230.59,38.14,4.43,7.1,11.31,230.59,13.3,3.64,0,2017
6467,빵 또는 떡류,쁘띠첼 치즈케익 소프트(씨제이제일제당),70,214.48,25.41,4.27,10.64,11.2,111.35,44.35,7.42,0.43,2012
6468,빵 또는 떡류,쁘띠첼 치즈케익 소프트(씨제이제일제당),70,278.03,32.94,5.53,13.79,7.84,144.34,57.48,9.62,0.56,2017
6469,빵 또는 떡류,새우버거,150,776.25,77.14,16.07,45,13.03,1076.79,52.73,7.71,0.18,2017
6470,빵 또는 떡류,샌드위치통식빵,70,268.15,51.69,6.46,3.45,4.31,570.77,0,1.51,0,2012
6471,빵 또는 떡류,샌드위치통식빵,70,187.71,36.18,4.52,2.41,3.01,399.54,0,1.06,0,2017
6472,빵 또는 떡류,생생 야채 고로케,70,236.92,28,5.38,11.85,6.46,312.31,5.37,4.95,0,2012
6473,빵 또는 떡류,생생 야채 고로케,70,221.13,26.13,5.03,11.06,4.52,291.49,5.02,4.62,0,2017
6474,빵 또는 떡류,생크림더블소프트,70,177.92,34.03,4.86,2.14,3.89,311.11,0,0.97,0,2012
6475,빵 또는 떡류,생크림더블소프트,70,172.97,33.08,4.73,2.08,2.72,302.47,0,0.94,0,2017
6476,빵 또는 떡류,생크림파운드미니,70,315.32,38.2,4.22,16.18,19.77,121.06,49.74,3.23,0,2013
6477,빵 또는 떡류,생크림파운드미니,70,220.73,26.74,2.95,11.33,13.61,84.74,34.82,2.26,0,2017
6478,빵 또는 떡류,샤니 참깨 햄버거,70,192.33,36.68,6.97,1.97,3.64,346.82,0.94,0.68,0,2013
6479,빵 또는 떡류,샤니 참깨 햄버거,70,134.63,25.68,4.88,1.38,2.94,242.78,0.66,0.47,0,2017
6480,빵 또는 떡류,샤니 추억의 보름달,70,205.56,37.78,4.44,4.44,20,155.56,50,2.33,0,2012
6481,빵 또는 떡류,샤니 추억의 보름달,70,228.4,41.97,4.94,4.94,14,172.84,55.56,2.59,0,2017
6482,빵 또는 떡류,샤니팡찌니 속이알찬 단팥피자(단팥),70,246.62,51.69,5.38,2.05,16.15,193.85,0,0.97,0,2012
6483,빵 또는 떡류,샤니팡찌니 속이알찬 단팥피자(단팥),70,191.81,40.21,4.19,1.59,11.31,150.77,0,0.75,0,2017
6484,빵 또는 떡류,샤니팡찌니 속이알찬 단팥피자(피자),70,215.38,32.31,9.69,6.46,7.54,430.77,5.38,2.91,0,2012
6485,빵 또는 떡류,샤니팡찌니 속이알찬 단팥피자(피자),70,167.52,25.13,7.54,5.03,5.28,335.04,4.19,2.26,0,2017
6486,빵 또는 떡류,샤니팡찌니 속이알찬고구마,70,242.31,50.62,5.38,2.37,22.62,247.69,0,1.08,0,2012
6487,빵 또는 떡류,샤니팡찌니 속이알찬고구마,70,188.46,39.37,4.19,1.84,15.83,192.65,0,0.84,0,2017
6488,빵 또는 떡류,샤니팡찌니 속이알찬단팥고구마(고구마),70,242.31,50.62,5.38,2.37,22.62,247.69,0,1.08,0,2012
6489,빵 또는 떡류,샤니팡찌니 속이알찬단팥고구마(고구마),70,188.46,39.37,4.19,1.84,15.83,192.65,0,0.84,0,2017
6490,빵 또는 떡류,샤니팡찌니 속이알찬단팥고구마(단팥),70,248.77,51.69,6.46,2.37,14,226.15,0,1.08,0,2012
6491,빵 또는 떡류,샤니팡찌니 속이알찬단팥고구마(단팥),70,193.49,40.21,5.03,1.84,9.8,175.9,0,0.84,0,2017
6492,빵 또는 떡류,샤르르 녹는 치즈번,130,405,67,8,11,18,490,20,4.8,0,2012
6493,빵 또는 떡류,샤르르녹는 슈크림빵,70,239.17,42,3.5,5.48,15.17,163.33,5.83,2.92,0,2012
6494,빵 또는 떡류,샤르르녹는 슈크림빵,70,279.03,49,4.08,6.4,10.62,190.56,6.81,3.4,0,2017
6495,빵 또는 떡류,센스있는딸기샌드,70,204.62,31.23,3.23,6.46,6.46,247.69,0,0.75,0,2012
6496,빵 또는 떡류,센스있는딸기샌드,70,220.36,33.63,3.48,6.96,4.52,266.75,0,0.81,0,2017
6497,빵 또는 떡류,센스있는메론샌드,70,210,31.23,3.23,7.54,8.62,258.46,0,0.75,0,2012
6498,빵 또는 떡류,센스있는메론샌드,70,226.15,33.63,3.48,8.12,6.03,278.34,0,0.81,0,2017
6499,빵 또는 떡류,센스있는크림치즈샌드,70,204.62,31.23,3.23,6.46,6.46,280,5.37,1.4,0,2012
6500,빵 또는 떡류,센스있는크림치즈샌드,70,220.36,33.63,3.48,6.96,4.52,301.54,5.79,1.51,0,2017
6501,빵 또는 떡류,소보루빵,70,189,30.1,2.8,6.3,6.3,126,1.05,0,0,2017
6502,빵 또는 떡류,소프트 치즈케익미니,70,289.69,45.23,5.38,10.77,24.77,118.46,86.15,3.88,0,2012
6503,빵 또는 떡류,소프트 치즈케익미니,70,253.48,39.58,4.71,9.42,17.34,103.65,75.38,3.39,0,2017
6504,빵 또는 떡류,소프트버터롤,70,209.11,38.99,4.43,3.72,8.86,256.96,4.43,1.77,0,2012
6505,빵 또는 떡류,소프트버터롤,70,185.29,34.55,3.93,3.3,6.2,227.69,3.93,1.57,0,2017
6506,빵 또는 떡류,소프트시몬컵케익,70,204.62,40.92,3.23,3.34,23.69,150.77,48.46,1.4,0,2012
6507,빵 또는 떡류,소프트시몬컵케익,70,204.62,40.92,3.23,3.34,16.59,150.77,48.46,1.4,0,2017
6508,빵 또는 떡류,속이 빵빵한 통단팥,70,148.17,30.33,4.08,1.4,14,32.08,0,0.58,0,2017
6509,빵 또는 떡류,스낵샌드 고소땅콩,70,231.88,31.5,4.38,10.5,4.38,280,0,4.2,0,2012
6510,빵 또는 떡류,스낵샌드 고소땅콩,70,202.89,27.56,3.83,9.19,3.06,245,0,3.67,0,2017
6511,빵 또는 떡류,스낵샌드 달콤딸기,70,227.5,31.5,3.5,9.62,4.38,245,0,4.38,0,2012
6512,빵 또는 떡류,스낵샌드 달콤딸기,70,199.06,27.56,3.06,8.42,3.06,214.38,0,3.83,0,2017
6513,빵 또는 떡류,스낵샌드 호밀생크림,70,223.12,32.38,3.5,8.75,6.12,271.25,0,4.38,0,2012
6514,빵 또는 떡류,스낵샌드 호밀생크림,70,195.23,28.33,3.06,7.66,4.29,237.34,0,3.83,0,2017
6515,빵 또는 떡류,스낵샌드 호밀옥수수,70,223.12,32.38,3.5,8.75,6.12,271.25,0,4.38,0,2012
6516,빵 또는 떡류,스낵샌드 호밀옥수수,70,195.23,28.33,3.06,7.66,4.29,237.34,0,3.83,0,2017
6517,빵 또는 떡류,스위스롤케익클래식,70,278.92,46.31,4.31,8.62,23.69,123.85,80.77,3.77,0,2012
6518,빵 또는 떡류,스위스롤케익클래식,70,238.1,39.53,3.68,7.35,16.59,105.72,68.95,3.22,0,2017
6519,빵 또는 떡류,스위트 골든케익볼,70,242.31,42,4.31,7.54,23.69,91.54,59.23,3.45,0,2012
6520,빵 또는 떡류,스위트 골든케익볼,70,253.16,43.88,4.5,7.88,16.59,95.64,61.88,3.6,0,2017
6521,빵 또는 떡류,스위트 롤케익클래식,70,228.31,35.54,4.31,7.54,24.77,140,59.23,3.55,0,2012
6522,빵 또는 떡류,스위트 롤케익클래식,70,225.09,35.04,4.25,7.43,16.59,138.03,58.4,3.5,0,2017
6523,빵 또는 떡류,스위트 콘 브래드,70,333.85,54.92,6.46,9.69,18.31,398.46,5.38,1.83,0,2012
6524,빵 또는 떡류,스위트 콘 브래드,70,233.69,38.45,4.52,6.78,12.81,278.92,3.77,1.28,0,2017
6525,빵 또는 떡류,스위트롤케익클래식,70,217.51,32.95,4.87,7.36,13.16,146.6,63.57,3.57,0,2013
6526,빵 또는 떡류,스위트롤케익클래식,70,152.26,23.07,3.41,5.15,16.59,102.62,44.5,2.5,0,2017
6527,빵 또는 떡류,스트로베리먼치킨,70,219.55,30.76,3.18,10.61,22.27,190.91,0,6.36,0,2012
6528,빵 또는 떡류,스트로베리먼치킨,70,232.85,32.62,3.37,11.25,15.59,202.48,0,6.75,0,2017
6529,빵 또는 떡류,스트로베리소프트,70,216.85,35.76,3.04,6.85,19.78,136.96,64.67,3.8,0,2012
6530,빵 또는 떡류,스트로베리소프트,70,164.99,27.21,2.32,5.21,13.85,104.21,49.21,2.89,0,2017
6531,빵 또는 떡류,스트로베리필드,70,217,28,4,11,20,210,0,7,0,2012
6532,빵 또는 떡류,스트로베리필드,70,217,28,4,11,8.98,210,0,7,0,2017
6533,빵 또는 떡류,시나몬베이글,70,216.36,34.36,6.36,5.73,4.45,254.55,19.09,3.18,0,2012
6534,빵 또는 떡류,시나몬베이글,70,137.69,21.87,4.05,3.64,3.12,161.98,12.15,2.02,0,2017
6535,빵 또는 떡류,시몬케익,70,200,32,5,6,18,35,130,1.3,0,2012
6536,빵 또는 떡류,시몬케익,70,200,32,5,6,12.6,35,130,1.3,0,2017
6537,빵 또는 떡류,식이섬유 단호박호빵,70,257.38,51.69,6.46,2.91,16.15,193.85,0,1.08,0,2012
6538,빵 또는 떡류,식이섬유 단호박호빵,70,200.19,40.21,5.03,2.26,11.31,150.77,0,0.84,0,2017
6539,빵 또는 떡류,식이섬유 토스트식빵,70,188.76,33.82,6.29,3.22,3.93,259.55,19.66,1.49,0,2012
6540,빵 또는 떡류,식이섬유 토스트식빵,70,148.47,26.6,4.95,2.54,2.75,204.14,15.47,1.18,0,2017
6541,빵 또는 떡류,신라의달밤 호두화과자,70,242,50,7,3,24,120,15,1.3,0,2012
6542,빵 또는 떡류,신라의달밤 호두화과자,70,242,50,7,3,16.8,120,15,1.3,0,2017
6543,빵 또는 떡류,신요요꿀호떡,70,194.78,39.57,3.04,2.54,11.16,152.17,0,1.12,0,2012
6544,빵 또는 떡류,신요요꿀호떡,70,197.61,40.14,3.09,2.57,8.59,154.38,0,1.13,0,2017
6545,빵 또는 떡류,씨제이 프레시안 화권(세린식품),70,122.5,25.9,2.8,0.91,2.8,49,0,0.14,0,2012
6546,빵 또는 떡류,씨제이 프레시안 화권(세린식품),70,122.5,25.9,2.8,0.91,1.96,49,0,0.14,0,2017
6547,빵 또는 떡류,아이러브 샌드위치,70,144.31,28,3.23,2.48,3.23,269.23,0,1.18,0,2012
6548,빵 또는 떡류,아이러브 샌드위치,70,187.07,36.3,4.19,3.21,2.26,349,0,1.54,0,2017
6549,빵 또는 떡류,아이리스와터검니의 초코파운드,70,280,38.77,3.23,11.85,22.62,140,43.08,6.46,0,2012
6550,빵 또는 떡류,아이리스와터검니의 초코파운드,70,280,38.77,3.23,11.85,15.83,140,43.08,6.46,0,2017
6551,빵 또는 떡류,아침엔. 밀크 토스트,70,188.81,36.25,6.79,1.85,2.36,368.89,1.41,0.71,0,2013
6552,빵 또는 떡류,아침엔. 밀크 토스트,70,132.17,25.38,4.75,1.3,1.48,258.22,0.99,0.49,0,2017
6553,빵 또는 떡류,아침엔.토스트,70,165.06,33.7,4.32,1.99,3.46,345.68,0,0.86,0,2012
6554,빵 또는 떡류,아침엔.토스트,70,142.65,29.13,3.73,1.72,2.42,298.73,0,0.75,0,2017
6555,빵 또는 떡류,아티제 식빵,70,213.36,35.45,6.81,4.92,3.72,252.87,0,1.8,0,2013
6556,빵 또는 떡류,아티제 식빵,70,149.36,24.82,4.77,3.45,2.94,177.01,0,1.26,0,2017
6557,빵 또는 떡류,아티제 팥빵,70,203.3,38.1,5.27,3.31,16.18,137.82,0,1.06,0,2013
6558,빵 또는 떡류,아티제 팥빵,70,142.31,26.67,3.69,2.32,1.96,96.47,0,0.74,0,2017
6559,빵 또는 떡류,알밤맞은 단팥 호빵,70,271.38,53.85,6.46,3.88,14,183.08,5.37,1.29,0,2012
6560,빵 또는 떡류,알밤맞은 단팥 호빵,70,199.97,39.68,4.76,2.86,9.8,134.9,3.96,0.95,0,2017
6561,빵 또는 떡류,애플턴오버,70,225,24,3,14,8,180,30,6,0.21,2012
6562,빵 또는 떡류,애플턴오버,70,225,24,3,14,5.6,180,30,6,0.21,2017
6563,빵 또는 떡류,애플필드,70,226,31,4,11,21,210,0,7,0,2012
6564,빵 또는 떡류,애플필드,70,226,31,4,11,14.7,210,0,7,0,2017
6565,빵 또는 떡류,애플홀릭소프트,70,214.12,39.53,4.12,4.12,18.94,131.76,45.29,1.81,0,2012
6566,빵 또는 떡류,애플홀릭소프트,70,176.33,32.55,3.39,3.39,13.26,108.51,37.3,1.49,0,2017
6567,빵 또는 떡류,야채 호빵,70,220.77,36.62,8.62,4.63,7.54,344.62,5.38,1.94,0,2012
6568,빵 또는 떡류,야채 호빵,70,171.71,28.48,6.7,3.6,5.28,268.03,4.19,1.51,0,2017
6569,빵 또는 떡류,어니언베이글,70,210,30.55,6.36,7,4.45,248.18,19.09,3.82,0,2012
6570,빵 또는 떡류,어니언베이글,70,133.64,19.44,4.05,4.45,3.12,157.93,12.15,2.43,0,2017
6571,빵 또는 떡류,언양식 소불고기 호빵,70,234.77,35.54,9.69,6.46,8.62,344.62,10.77,2.8,0,2012
6572,빵 또는 떡류,언양식 소불고기 호빵,70,172.99,26.19,7.14,4.76,6.03,253.93,7.94,2.06,0,2017
6573,빵 또는 떡류,엄마의 시크릿 레시피 미니생크림파운드,70,327.38,36.62,4.31,19.38,21.54,113.08,53.85,4.31,0,2012
6574,빵 또는 떡류,엄마의 시크릿 레시피 미니생크림파운드,70,318.29,35.6,4.19,18.85,15.08,109.94,52.35,4.19,0,2017
6575,빵 또는 떡류,엄마의 시크릿 레시피 생크림파운드미니,70,327.38,36.62,4.31,19.38,21.54,113.08,53.85,4.31,0,2012
6576,빵 또는 떡류,엄마의 시크릿 레시피 생크림파운드미니,70,318.29,35.6,4.19,18.85,15.08,109.94,52.35,4.19,0,2017
6577,빵 또는 떡류,엄마의 시크릿 레시피 생크림파운드케익,70,284.38,33.25,3.5,14.88,17.5,105,35,2.89,0,2012
6578,빵 또는 떡류,엄마의 시크릿 레시피 생크림파운드케익,70,248.83,29.09,3.06,13.02,12.25,91.88,30.62,2.53,0,2017
6579,빵 또는 떡류,엄마의 시크릿 레시피 옥수수카스테라,70,190.56,38.89,3.89,1.79,18.67,116.67,62.22,0.54,0,2012
6580,빵 또는 떡류,엄마의 시크릿 레시피 옥수수카스테라,70,148.21,30.25,3.02,1.39,13.07,90.74,48.4,0.42,0,2017
6581,빵 또는 떡류,업타운훼미리브레드,70,206.5,39.2,6.3,3.15,8.4,189,7,1.4,0,2012
6582,빵 또는 떡류,업타운훼미리브레드,70,144.55,27.44,4.41,2.2,5.88,132.3,4.9,0.98,0,2017
6583,빵 또는 떡류,에그타르트,70,225,27,3,12,10,150,60,4.9,0,2012
6584,빵 또는 떡류,에그타르트,70,225,27,3,12,7,150,60,4.9,0,2017
6585,빵 또는 떡류,에띠앙금빵,70,191.33,35.47,4.67,4.01,11.2,149.33,18.67,1.87,0,2012
6586,빵 또는 떡류,에띠앙금빵,70,178.58,33.1,4.36,3.75,7.84,139.38,17.42,1.74,0,2017
6587,빵 또는 떡류,에이스의매콤소시지빵,70,247.69,26.92,6.46,12.92,7.54,333.85,10.77,6.46,0,2012
6588,빵 또는 떡류,에이스의매콤소시지빵,70,247.69,26.92,6.46,12.92,5.28,333.85,10.77,6.46,0,2017
6589,빵 또는 떡류,엔네이처 우유핫도그(롯데푸드),70,192.5,25.2,5.6,7.7,7.7,371,14,2.94,0,2015
6590,빵 또는 떡류,엔네이처 우유핫도그(롯데푸드),70,134.75,17.64,3.92,5.39,5.6,259.7,9.8,2.06,0,2017
6591,빵 또는 떡류,여가자 찾는 식이섬유 단호박 호빵,70,257.38,51.69,6.46,2.91,16.15,193.85,0,1.08,0,2012
6592,빵 또는 떡류,여가자 찾는 식이섬유 단호박 호빵,70,200.19,40.21,5.03,2.26,11.31,150.77,0,0.84,0,2017
6593,빵 또는 떡류,옛날 꿀호떡,70,173.38,34.46,3.23,2.91,12.92,150.77,0,1.4,0,2012
6594,빵 또는 떡류,옛날 꿀호떡,70,212.93,42.32,3.97,3.57,11.78,185.16,0,1.72,0,2017
6595,빵 또는 떡류,옛날 꿀호떡 호이호이,70,197.72,39.3,3.68,2.7,11.05,159.65,0,1.23,0,2012
6596,빵 또는 떡류,옛날 꿀호떡 호이호이,70,242.81,48.26,4.52,3.32,13.19,196.06,0,1.51,0,2017
6597,빵 또는 떡류,옛날땅콩호떡,70,202,39,4,3.6,11,140,0,1.3,0,2012
6598,빵 또는 떡류,옛날땅콩호떡,70,202,39,4,3.6,6.64,140,0,1.3,0,2017
6599,빵 또는 떡류,옛날소보루,70,333.85,53.85,5.38,11.85,19.38,247.69,5.38,5.06,0,2012
6600,빵 또는 떡류,옛날소보루,70,259.66,41.88,4.19,9.21,13.57,192.65,4.19,3.94,0,2017
6601,빵 또는 떡류,오리지널 땅콩크림샌드,70,221.85,31.23,6.46,9.69,2.15,269.23,0,3.88,0,2012
6602,빵 또는 떡류,오리지널 땅콩크림샌드,70,241.76,33.7,6.24,9.11,7.46,268.83,0,4.15,0,2013
6603,빵 또는 떡류,오리지널 땅콩크림샌드,70,169.23,23.59,4.37,6.38,7.78,188.18,0,2.9,0,2017
6604,빵 또는 떡류,오리지널 땅콩크림샌드,70,246.5,34.7,7.18,10.77,1.51,299.14,0,4.31,0,2017
6605,빵 또는 떡류,오리지널 미니호두단팥빵,70,205.69,38.77,5.38,3.77,14,129.23,5.37,0.97,0,2012
6606,빵 또는 떡류,오리지널 미니호두단팥빵,70,239.97,45.23,6.28,4.4,9.8,150.77,6.27,1.13,0,2017
6607,빵 또는 떡류,오리지널 속이빵빵 통단팥,70,253.08,51.69,6.46,2.15,26.92,161.54,0,1.08,0,2012
6608,빵 또는 떡류,오리지널 속이빵빵 통단팥,70,210.9,43.08,5.38,1.79,18.85,134.61,0,0.9,0,2017
6609,빵 또는 떡류,오리지널 피넛크림빵,70,291.85,45.23,5.38,9.69,10.77,280,16.15,4.74,0,2012
6610,빵 또는 떡류,오리지널 피넛크림빵,70,258.6,40.08,4.77,8.59,7.54,248.1,14.31,4.2,0,2017
6611,빵 또는 떡류,오리지널단팥빵,70,258.46,50.62,5.38,4.2,24.77,236.92,10.77,1.94,0,2012
6612,빵 또는 떡류,오리지널단팥빵,70,212.85,41.68,4.43,3.46,17.34,195.11,8.87,1.6,0,2017
6613,빵 또는 떡류,오리지널단팥크림빵,70,291.85,45.23,4.31,10.77,23.69,204.62,10.77,5.38,0,2012
6614,빵 또는 떡류,오리지널단팥크림빵,70,240.34,37.25,3.55,8.87,16.59,168.51,8.87,4.43,0,2017
6615,빵 또는 떡류,오리지널버터롤,70,248.77,46.31,5.38,4.95,12.92,301.54,5.38,2.37,0,2012
6616,빵 또는 떡류,오리지널버터롤,70,226.15,42.1,4.9,4.5,9.05,274.13,4.9,2.15,0,2017
6617,빵 또는 떡류,오리지널버터롤파티,70,248.77,46.31,5.38,4.95,12.92,301.54,5.38,2.37,0,2012
6618,빵 또는 떡류,오리지널버터롤파티,70,226.15,42.1,4.9,4.5,9.05,274.13,4.9,2.15,0,2017
6619,빵 또는 떡류,오리지널보름달,70,207.78,38.89,3.33,4.11,17.78,133.33,61.11,1.78,0,2012
6620,빵 또는 떡류,오리지널보름달,70,230.86,43.21,3.7,4.57,12.45,148.15,67.9,1.98,0,2017
6621,빵 또는 떡류,오븐에 구운 맘스 도넛,70,357.54,40.92,4.31,19.38,25.85,140,64.62,4.31,0,2012
6622,빵 또는 떡류,오븐에 구운 맘스 도넛,70,325.03,37.2,3.92,17.62,18.09,127.27,58.74,3.92,0,2017
6623,빵 또는 떡류,오후의 애플민트,70,127.23,15.22,1.36,6.77,11.58,16.63,0,3.23,0,2013
6624,빵 또는 떡류,오후의 애플민트,70,89.06,10.65,0.95,4.74,10.29,11.64,0,2.26,0,2017
6625,빵 또는 떡류,옥수수 식빵,70,129.23,24.77,3.23,2.05,4.31,226.15,0,0.97,0,2012
6626,빵 또는 떡류,옥수수 식빵,70,188.46,36.12,4.71,2.98,3.01,329.81,0,1.41,0,2017
6627,빵 또는 떡류,옥수수팡,70,214.67,35.47,3.73,6.53,12.13,158.67,23.33,2.71,0,2012
6628,빵 또는 떡류,옥수수팡,70,200.36,33.1,3.48,6.1,8.49,148.09,21.78,2.53,0,2017
6629,빵 또는 떡류,온가족이 함께먹는 팡찌니 단팥,70,249.85,51.69,6.46,2.37,14,215.38,0,1.08,0,2012
6630,빵 또는 떡류,온가족이 함께먹는 팡찌니 단팥,70,194.32,40.21,5.03,1.84,9.8,167.52,0,0.84,0,2017
6631,빵 또는 떡류,온가족이 함께먹는 팡찌니 통단팥,70,249.85,51.69,6.46,2.69,20.46,258.46,0,2.26,0,2012
6632,빵 또는 떡류,온가족이 함께먹는 팡찌니 통단팥,70,194.32,40.21,5.03,2.09,14.32,201.03,0,1.76,0,2017
6633,빵 또는 떡류,올리브브레드,70,175.7,34.03,6.19,1.65,0,31.65,0,1.13,0,2013
6634,빵 또는 떡류,올리브브레드,70,122.99,23.82,4.33,1.15,8.62,22.15,0,0.79,0,2017
6635,빵 또는 떡류,완두앙금빵,70,185,36,5,2.6,13,190,5,1,0,2012
6636,빵 또는 떡류,완두앙금빵,70,185,36,5,2.6,9.1,190,5,1,0,2017
6637,빵 또는 떡류,왕만쥬,70,177.69,38.77,3.23,1.4,5.38,129.23,10.77,0.54,0,2012
6638,빵 또는 떡류,왕만쥬,70,226.15,49.34,4.11,1.78,3.77,164.48,13.71,0.69,0,2017
6639,빵 또는 떡류,요리사상디의 고구마피자빵,70,199.23,33.38,4.31,5.38,12.92,258.46,5.38,1.62,0,2012
6640,빵 또는 떡류,요리사상디의 고구마피자빵,70,185.95,31.16,4.02,5.03,9.05,241.23,5.03,1.51,0,2017
6641,빵 또는 떡류,요요 꿀호떡,70,213.23,43.08,3.23,3.34,19.38,172.31,0,1.62,0,2012
6642,빵 또는 떡류,요요 꿀호떡,70,210.23,42.47,3.18,3.29,9.8,169.88,0,1.59,0,2017
6643,빵 또는 떡류,요요꿀호떡 호이호이,70,195.21,39.44,2.96,2.56,10.85,147.89,0,1.18,0,2012
6644,빵 또는 떡류,요요꿀호떡 호이호이,70,192.46,38.88,2.92,2.53,12.95,145.8,0,1.17,0,2017
6645,빵 또는 떡류,우리밀 통단팥호빵,70,278.92,58.15,6.46,2.37,23.69,236.92,0,1.08,0,2012
6646,빵 또는 떡류,우리밀 통단팥호빵,70,195.25,40.71,4.52,1.66,16.59,165.85,0,0.75,0,2017
6647,빵 또는 떡류,우리밀 통단팥혼합야채호빵(단팥),70,278.92,58.15,6.46,2.37,23.69,236.92,0,1.08,0,2012
6648,빵 또는 떡류,우리밀 통단팥혼합야채호빵(단팥),70,195.25,40.71,4.52,1.66,16.59,165.85,0,0.75,0,2017
6649,빵 또는 떡류,우리밀 통단팥혼합야채호빵(야채),70,230.46,36.62,9.69,5.28,8.62,430.77,10.77,2.15,0,2012
6650,빵 또는 떡류,우리밀 통단팥혼합야채호빵(야채),70,161.32,25.63,6.78,3.69,6.03,301.54,7.54,1.51,0,2017
6651,빵 또는 떡류,우리밀경주빵,70,193.66,41.18,5.18,0.91,19.27,110.55,20.74,0.38,0,2013
6652,빵 또는 떡류,우리밀경주빵,70,135.56,28.82,3.63,0.64,13.72,77.38,14.52,0.27,0,2017
6653,빵 또는 떡류,우리쌀로찜한백설기,70,171.5,38.5,3.5,0.35,4.2,140,0,0,0,2012
6654,빵 또는 떡류,우리쌀로찜한백설기,70,120.05,26.95,2.45,0.25,2.94,98,0,0,0,2017
6655,빵 또는 떡류,우리쌀소프트토스트,70,170.86,31.61,4.52,2.41,0.75,301.08,0,1.28,0,2012
6656,빵 또는 떡류,우리쌀소프트토스트,70,128.6,23.79,3.4,1.81,0.53,226.62,0,0.96,0,2017
