번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
2544,과자류,새콤달콤포도(크라운제과),30,37.31,7.41,0.07,0.85,4.89,3.6,2.12,0.84,0,2017
2545,과자류,색고드름(롯데제과),100,26.92,7.08,0.31,0,21,24.69,0.15,0,0.17,2017
2546,과자류,샌드 상어모먕 구미젤리,10,11,2.6,0.2,0,2,2,0,0,0,2013
2547,과자류,샌드 상어모먕 구미젤리,10,3.14,0.74,0.06,0,0.6,0.57,0,0,0,2017
2548,과자류,샌드비스킷,30,40.2,5.4,0.6,1.8,2.7,12,0,0.9,0.15,2013
2549,과자류,샌드비스킷,30,43.07,5.79,0.64,1.93,0.94,12.86,0,0.96,0.16,2017
2550,과자류,샌드위치 레몬향,30,48,7.2,0.42,1.92,2.58,23.4,0.08,0.54,0,2013
2551,과자류,샌드위치 레몬향,30,43.64,6.55,0.38,1.75,2.38,21.27,0.08,0.49,0,2017
2552,과자류,"샌드위치,샌드위치, B.M.T.(Subway)",150,271.5,1.8,12.75,12.75,0,1008,0,0,0,2006
2553,과자류,"샌드위치,샌드위치, B.M.T.(Subway)",150,407.25,2.7,19.12,19.12,N/A,1512,N/A,N/A,N/A,2017
2554,과자류,"샌드위치,샌드위치, 델리(Subway)",150,447,7.2,14.55,7.2,0,742.5,0,0,0,2006
2555,과자류,"샌드위치,샌드위치, 델리(Subway)",150,670.5,10.8,21.83,10.8,N/A,1113.75,N/A,N/A,N/A,2017
2556,과자류,"샌드위치,샌드위치, 베지스디라이트(Subway)",150,190.5,1.65,7.65,2.55,0,499.5,0,0,0,2006
2557,과자류,"샌드위치,샌드위치, 베지스디라이트(Subway)",150,285.75,2.47,11.48,3.83,N/A,749.25,N/A,N/A,N/A,2017
2558,과자류,"샌드위치,샌드위치, 비프,로스트비프(Subway)",150,186,1.95,12.3,3.3,0,600,0,0,0,2006
2559,과자류,"샌드위치,샌드위치, 비프,로스트비프(Subway)",150,279,2.92,18.45,4.95,N/A,900,N/A,N/A,N/A,2017
2560,과자류,"샌드위치,샌드위치, 비프,미트볼(Subway)",150,232.5,2.25,10.35,9.3,0,597,0,0,0,2006
2561,과자류,"샌드위치,샌드위치, 비프,미트볼(Subway)",150,348.75,3.38,15.52,13.95,N/A,895.5,N/A,N/A,N/A,2017
2562,과자류,"샌드위치,샌드위치, 소시지,소시지(Subway)",150,256.5,2.7,8.7,10.5,0,652.5,0,0,0,2006
2563,과자류,"샌드위치,샌드위치, 소시지,소시지(Subway)",150,384.75,4.05,13.05,15.75,8.21,978.75,N/A,N/A,N/A,2017
2564,과자류,"샌드위치,샌드위치, 써브웨이멜트(Subway)",150,219,1.8,13.2,7.2,0,1036.5,0,0,0,2006
2565,과자류,"샌드위치,샌드위치, 써브웨이멜트(Subway)",150,328.5,2.7,19.8,10.8,N/A,1554.75,N/A,N/A,N/A,2017
2566,과자류,"샌드위치,샌드위치, 치즈,스테이크&치즈(Subway)",150,223.5,1.8,16.95,5.85,0,645,0,0,0,2006
2567,과자류,"샌드위치,샌드위치, 치즈,스테이크&치즈(Subway)",150,335.25,2.7,25.42,8.77,N/A,967.5,N/A,N/A,N/A,2017
2568,과자류,"샌드위치,샌드위치, 치킨,치킨브레스트(Subway)",150,202.5,1.2,15.9,3.6,0,589.5,0,0,0,2006
2569,과자류,"샌드위치,샌드위치, 치킨,치킨브레스트(Subway)",150,303.75,1.8,23.85,5.4,N/A,884.25,N/A,N/A,N/A,2017
2570,과자류,"샌드위치,샌드위치, 콜드컷트리오(Subway)",150,220.5,1.2,11.55,7.95,0,855,0,0,0,2006
2571,과자류,"샌드위치,샌드위치, 콜드컷트리오(Subway)",150,330.75,1.8,17.33,11.93,N/A,1282.5,N/A,N/A,N/A,2017
2572,과자류,"샌드위치,샌드위치, 크랩(Subway)",150,253.5,1.2,11.55,11.55,0,517.5,0,0,0,2006
2573,과자류,"샌드위치,샌드위치, 크랩(Subway)",150,380.25,1.8,17.33,17.33,N/A,776.25,N/A,N/A,N/A,2017
2574,과자류,"샌드위치,샌드위치, 터키브레스트(Subway)",150,177,1.35,10.95,2.55,0,900,0,0,0,2006
2575,과자류,"샌드위치,샌드위치, 터키브레스트(Subway)",150,265.5,2.03,16.42,3.83,N/A,1350,N/A,N/A,N/A,2017
2576,과자류,"샌드위치,샌드위치, 피자(Subway)",150,268.5,2.4,11.4,13.2,0,966,0,0,0,2006
2577,과자류,"샌드위치,샌드위치, 피자(Subway)",150,402.75,3.6,17.1,19.8,N/A,1449,N/A,N/A,N/A,2017
2578,과자류,"샌드위치,샌드위치, 햄,터키브레스트&햄(Subway)",150,181.5,1.95,11.7,3.3,0,873,0,0,0,2006
2579,과자류,"샌드위치,샌드위치, 햄,터키브레스트&햄(Subway)",150,272.25,2.92,17.55,4.95,N/A,1309.5,N/A,N/A,N/A,2017
2580,과자류,"샌드위치,샌드위치, 햄,햄(Subway)",150,205.5,2.7,9.6,3.45,0,678,0,0,0,2006
2581,과자류,"샌드위치,샌드위치, 햄,햄(Subway)",150,308.25,4.05,14.4,5.18,N/A,1017,N/A,N/A,N/A,2017
2582,과자류,샐러드 크래커,30,44.25,5.93,0.82,1.88,0.11,26.62,0,1.35,0,2017
2583,과자류,생강사탕,10,5,1.2,0,0,1,2,0,0,0,2013
2584,과자류,생강사탕,10,6.08,1.52,0,0,1.5,2.68,0,0,0,2013
2585,과자류,생강사탕,10,3.85,0.92,0,0,0.75,1.54,0,0,0,2017
2586,과자류,생강사탕,10,3.8,0.95,0,0,0.75,1.67,0,0,0,2017
2587,과자류,생강캔디,10,37.65,9.72,0,0,7.52,4.11,0,0,0,2012
2588,과자류,생강캔디,10,3.77,0.97,0,0,0.75,0.41,0,0,0,2017
2589,과자류,생귤탱귤 감귤(빙그레),100,54.17,13.33,0,0,13.33,8.33,0,0,0,2015
2590,과자류,생귤탱귤 감귤(빙그레),100,54.17,13.33,0,0,21.33,8.33,0,0,0,2017
2591,과자류,생크림 파이,30,43.5,4.41,0.45,2.61,1.8,15.3,0,0.6,0,2013
2592,과자류,생크림 파이,30,50.19,5.09,0.52,3.01,2.12,17.65,0,0.69,0,2017
2593,과자류,샤베트푸딩,100,90,20,0.7,0.8,19,25,0,0.7,0,2013
2594,과자류,샤베트푸딩,100,76.27,16.95,0.59,0.68,17.78,21.19,0,0.59,0,2017
2595,과자류,샤크모양구미,10,10,2.3,0.2,0,1.6,3,0,0,0,2013
2596,과자류,샤크모양구미,10,3.45,0.79,0.07,0,0.6,1.03,0,0,0,2017
2597,과자류,샷 초코 아몬드 에너지 바,30,63.3,9.24,1.11,1.32,2.13,2.7,0,0.33,0,2013
2598,과자류,샷 초코 아몬드 에너지 바,30,34.53,5.04,0.61,0.72,1.16,1.47,0,0.18,0,2017
